id,name,parkName,lat,lng,lga,tourismRegion,googleQuery
black-range-state-park-burrunj-campground-black-range-state-park,"Burrunj Campground, Black Range State Park",Black Range State Park,-37.21417001999998,142.08824412,SOUTHERN GRAMPIANS SHIRE,Grampians,"Burrunj Campground, Black Range State Park Black Range State Park site:parks.vic.gov.au/places-to-see"
buchan-at-cave-reserve-buchan-work-centre-buchan-at-cave-reserve,"Buchan, Work Centre, Buchan (AT) Cave Reserve",Buchan (AT) Cave Reserve,-37.49248700999999,148.16299103999995,EAST GIPPSLAND SHIRE,Gippsland,"Buchan, Work Centre, Buchan (AT) Cave Reserve Buchan (AT) Cave Reserve site:parks.vic.gov.au/places-to-see"
bunyip-state-park-nash-creek-camping-area-bunyip-state-park,"Nash Creek Camping Area, Bunyip State Park",Bunyip State Park,-37.94658003000001,145.68772788,CARDINIA SHIRE,Yarra Valley and Dandenong Ranges,"Nash Creek Camping Area, Bunyip State Park Bunyip State Park site:parks.vic.gov.au/places-to-see"
burrowa-pine-mountain-national-park-black-mountain-burrowa-pine-mountain-national-park,"Black Mountain, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park,-36.12526335299998,147.71678136800006,TOWONG SHIRE,High Country,"Black Mountain, Burrowa - Pine Mountain National Park Burrowa - Pine Mountain National Park site:parks.vic.gov.au/places-to-see"
burrowa-pine-mountain-national-park-bluegum-camp-burrowa-pine-mountain-national-park,"Bluegum Camp, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park,-36.12466472099999,147.76967193200005,TOWONG SHIRE,High Country,"Bluegum Camp, Burrowa - Pine Mountain National Park Burrowa - Pine Mountain National Park site:parks.vic.gov.au/places-to-see"
burrowa-pine-mountain-national-park-bluff-creek-burrowa-pine-mountain-national-park,"Bluff Creek, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park,-36.12262904200003,147.777764036,TOWONG SHIRE,High Country,"Bluff Creek, Burrowa - Pine Mountain National Park Burrowa - Pine Mountain National Park site:parks.vic.gov.au/places-to-see"
burrowa-pine-mountain-national-park-hinces-creek-burrowa-pine-mountain-national-park,"Hinces Creek, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park,-36.08573002100002,147.76773721300003,TOWONG SHIRE,High Country,"Hinces Creek, Burrowa - Pine Mountain National Park Burrowa - Pine Mountain National Park site:parks.vic.gov.au/places-to-see"
burrowa-pine-mountain-national-park-hinces-saddle-burrowa-pine-mountain-national-park,"Hinces Saddle, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park,-36.10926938,147.70774764700002,TOWONG SHIRE,High Country,"Hinces Saddle, Burrowa - Pine Mountain National Park Burrowa - Pine Mountain National Park site:parks.vic.gov.au/places-to-see"
burrowa-pine-mountain-national-park-pine-mountain-picnic-area-burrowa-pine-mountain-national-park,"Pine Mountain Picnic Area, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park,-36.002493387000015,147.78512597199995,TOWONG SHIRE,High Country,"Pine Mountain Picnic Area, Burrowa - Pine Mountain National Park Burrowa - Pine Mountain National Park site:parks.vic.gov.au/places-to-see"
burrowa-pine-mountain-national-park-ross-lookout-burrowa-pine-mountain-national-park,"Ross Lookout, Burrowa - Pine Mountain National Park",Burrowa - Pine Mountain National Park,-36.13191758099998,147.73451256700002,TOWONG SHIRE,High Country,"Ross Lookout, Burrowa - Pine Mountain National Park Burrowa - Pine Mountain National Park site:parks.vic.gov.au/places-to-see"
